Team,Wins,Net_Rtg,Defensive_Rtg,
BOS,64,11.7,110.6,
DEN,57,5.5,112.3,
OKC,57,7.3,111,
MIN,56,6.3,108.4,
LAC,51,3.4,114.6,
DAL,50,2.1,114.9,
NYK,50,4.9,112.4,
MIL,49,2.6,115,
