Rank,Team,Defensive Efficiency
1,OKC,1.042
2,ORL,1.06
3,HOU,1.06
4,LAC,1.068
5,BOS,1.079
6,MIN,1.079
7,GSW,1.08
8,CLE,1.087
9,DET,1.09
10,MEM,1.093
