Rank,Team,Defensive Efficiency
1,ORL,1.003
2,CHA,1.004
3,BOS,1.007
4,MIL,1.008
5,MIA,1.015
6,LAL,1.017
7,OKC,1.017
8,CLE,1.018
9,SAS,1.022
10,CHI,1.029
