Rank,Team,Defensive Efficiency
1,CLE,1.07
2,MEM,1.075
3,BOS,1.086
4,MIL,1.09
5,CHI,1.09
6,NOP,1.092
7,MIA,1.095
8,PHI,1.097
9,LAL,1.098
10,PHX,1.099
11,DEN,1.101
