Rank,Team,Defensive Efficiency
1,LAL,1.042
2,PHI,1.045
3,NYK,1.051
4,UTA,1.068
5,GSW,1.068
6,MIL,1.073
7,PHX,1.076
8,MEM,1.083
9,MIA,1.083
10,LAC,1.087
