Rank,Team,Defensive Efficiency
1,GSW,1.009
2,SAS,1.017
3,ATL,1.025
4,UTA,1.029
5,MIA,1.033
6,CHI,1.039
7,DET,1.041
8,OKC,1.042
9,MEM,1.042
10,NOP,1.044
