Rank,Team,Defensive Efficiency
1,CHI,0.947
2,BOS,0.953
3,PHI,0.96
4,MIA,0.969
5,ATL,0.976
6,MEM,0.98
7,NYK,0.981
8,IND,0.989
9,DAL,0.995
10,OKC,1.001
