Rank,Team,Defensive Efficiency
1,BOS,1.036
2,GSW,1.042
3,MEM,1.052
4,MIA,1.052
5,PHX,1.053
6,CLE,1.065
7,LAC,1.069
8,NYK,1.07
9,DAL,1.07
10,UTA,1.073
