Rank,Team,Defensive Efficiency
1,MIL,1.019
2,UTA,1.027
3,IND,1.033
4,TOR,1.033
5,OKC,1.039
6,BOS,1.042
7,MIA,1.042
8,ORL,1.052
9,MEM,1.055
10,DEN,1.059
