Rank,Team,Defensive Efficiency
1,IND,0.97
2,CHI,0.974
3,SAS,0.999
4,GSW,1.002
5,CHA,1.009
6,WAS,1.009
7,OKC,1.013
8,MEM,1.013
9,TOR,1.018
10,LAC,1.02
