Rank,Team,Defensive Efficiency
1,GSW,0.98
2,MIL,0.99
3,MEM,0.992
4,SAS,0.994
5,WAS,0.995
6,IND,0.999
7,ATL,1
8,CHA,1.002
9,CHI,1.002
10,HOU,1.008
