Rank,Team,Defensive Efficiency
1,CHI,0.969
2,BOS,0.976
3,ORL,0.987
4,MIL,0.994
5,MIA,1.001
6,LAL,1.013
7,MEM,1.017
8,PHI,1.021
9,DAL,1.022
10,SAS,1.024
