Rank,Team,Defensive Efficiency
1,IND,0.969
2,MEM,0.971
3,SAS,0.984
4,OKC,0.991
5,WAS,0.997
6,BOS,0.998
7,MIA,1.002
8,CHI,1.002
9,LAC,1.006
10,ATL,1.013
