Rank,Team,Defensive Efficiency
1,UTA,1.013
2,BOS,1.014
3,PHI,1.018
4,SAS,1.022
5,HOU,1.032
6,POR,1.036
7,TOR,1.036
8,MIA,1.036
9,GSW,1.037
10,OKC,1.037
