Rank,Team,Defensive Efficiency
1,SAS,0.964
2,ATL,0.986
3,IND,0.996
4,BOS,0.998
5,UTA,1.006
6,LAC,1.006
7,MIA,1.007
8,GSW,1.01
9,CLE,1.015
10,CHA,1.015
