Rank,Team,Opponent Effective Field Goal Percentage
1,CHI,0.448
2,BOS,0.455
3,PHI,0.46
4,OKC,0.469
5,TOR,0.475
6,IND,0.475
7,LAL,0.475
8,MIA,0.476
9,ATL,0.478
10,DAL,0.481
