Rank,Team,Opponent Effective Field Goal Percentage
1,MIL,0.486
2,TOR,0.502
3,LAC,0.503
4,BKN,0.507
5,LAL,0.509
6,BOS,0.51
7,IND,0.513
8,UTA,0.514
9,DAL,0.519
10,OKC,0.52
