Rank,Team,Opponent Effective Field Goal Percentage
1,MIL,0.525
2,MEM,0.526
3,BOS,0.528
4,BKN,0.53
5,LAL,0.532
6,CLE,0.532
7,NYK,0.532
8,PHX,0.533
9,GSW,0.536
10,DEN,0.538
