Rank,Team,Opponent Effective Field Goal Percentage
1,SAS,0.476
2,GSW,0.479
3,LAC,0.48
4,ATL,0.48
5,MIA,0.481
6,IND,0.485
7,CHI,0.485
8,BOS,0.487
9,OKC,0.487
10,NYK,0.487
13,CLE,0.499
