Rank,Team,Opponent Effective Field Goal Percentage
1,BOS,0.501
2,GSW,0.512
3,PHX,0.514
4,LAC,0.514
5,CLE,0.521
6,NYK,0.521
7,UTA,0.522
8,PHI,0.522
9,BKN,0.522
10,MIA,0.523
