Rank,Team,Opponent Effective Field Goal Percentage
1,IND,0.457
2,OKC,0.469
3,MEM,0.478
4,SAS,0.478
5,CHI,0.48
6,BOS,0.481
7,WAS,0.483
8,GSW,0.486
9,MIA,0.486
10,LAC,0.492
