Rank,Team,Opponent Effective Field Goal Percentage
1,NYK,0.51
2,UTA,0.514
3,PHI,0.519
4,GSW,0.52
5,LAL,0.526
6,BKN,0.527
7,PHX,0.527
8,ATL,0.528
9,IND,0.532
10,MIL,0.533
