Rank,Team,Opponent Effective Field Goal Percentage
1,IND,0.466
2,CHI,0.471
3,GSW,0.481
4,SAS,0.484
5,OKC,0.487
6,LAC,0.489
7,HOU,0.49
8,POR,0.491
9,CHA,0.493
10,TOR,0.494
