Rank,Team,Offensive Efficiency
1,SAS,1.074
2,OKC,1.062
3,DEN,1.053
4,LAC,1.035
5,MIA,1.034
6,PHX,1.027
7,CHI,1.026
8,UTA,1.023
9,LAL,1.023
10,IND,1.021
