Rank,Team,Offensive Efficiency
1,DAL,1.129
2,LAC,1.106
3,UTA,1.099
4,DEN,1.097
5,POR,1.096
6,LAL,1.094
7,MIA,1.093
8,BOS,1.093
9,SAS,1.092
10,MIL,1.091
