Rank,Team,Offensive Efficiency
1,SAC,1.151
2,BOS,1.144
3,DEN,1.144
4,PHI,1.133
5,DAL,1.132
6,ATL,1.129
7,NYK,1.128
8,MIL,1.12
9,UTA,1.119
10,GSW,1.118
