Rank,Team,Offensive Efficiency
1,UTA,1.125
2,ATL,1.124
3,PHX,1.115
4,DEN,1.112
5,CHA,1.106
6,MIL,1.105
7,MEM,1.102
8,MIN,1.1
9,BOS,1.1
10,BKN,1.099
13,GSW,1.096
