Rank,Team,Offensive Efficiency
1,CLE,1.184
2,BOS,1.17
3,DEN,1.163
4,OKC,1.6
5,NYK,1.148
6,MEM,1.139
7,IND,1.133
8,SAC,1.129
9,PHX,1.127
10,MIN,1.124
