Rank,Team,Offensive Efficiency
1,BOS,1.185
2,IND,1.169
3,OKC,1.15
4,MIL,1.147
5,LAC,1.144
6,NYK,1.141
7,DEN,1.14
8,GSW,1.138
9,PHX,1.135
10,DAL,1.134
