Rank,Team,Offensive Efficiency
1,MIA,1.082
2,OKC,1.076
3,LAC,1.066
4,NYK,1.062
5,DEN,1.061
6,HOU,1.057
7,SAS,1.052
8,BKN,1.044
9,LAL,1.037
10,UTA,1.03
