Rank,Name
1,LeBron James
2,Kevin Durant
3,Carmelo Anthony
4,Chris Paul
5,Kobe Bryant
6,Tony Parker
7,Tim Duncan
8,James Harden
9,Russell Westbrook
10,Dwayne Wade
