Rank,Name
1,LeBron James
2,Kevin Durant
3,Chris Paul
4,Kobe Bryant
5,Tony Parker
6,Kevin Love
7,Dwight Howard
8,Rajon Rondo
9,Steve Nash
10,Dwayne Wade
