Rank,Name
1,Giannis Antetokounmpo
2,LeBron James
3,James Harden
4,Luka Doncic
5,Kawhi Leonard
6,Anthony Davis
7,Chris Paul
8,Damian Lillard
9,Nikola Jokic
10,Pascal Siakam
