Rank,Name
1,Nikola Jokic
2,Joel Embiid
3,Giannis Antetokounmpo
4,Devin Booker
5,Luka Doncic
6,Jayson Tatum
7,Ja Morant
8,Stephen Curry
9,Chris Paul
10,DeMar DeRozan
