Rank,Name
1,Russell Westbrook
2,James Harden
3,Kawhi Lenoard
4,LeBron James
5,Isaiah Thomas
6,Stephen Curry
7,Giannis Antetokounmpo
8,John Wall
9,Anthony Davis
10,Kevin Durant
