Rank,Name
1,Nikola Jokic
2,Joel Embiid
3,Stephen Curry
4,Giannis Antetokounmpo
5,Chris Paul
6,Luka Doncic
7,Damian Lillard
8,Julius Randle
9,Derrick Rose
10,Rudy Gobert
