Rank,Name
1,Joel Embiid
2,Nikola Jokic
3,Giannis Antetokounmpo
4,Jayson Tatum
5,Shai Gilgeous-Alexander
6,Donovan Mitchell
7,Domantas Sabonis
8,Luke Doncic
9,Stephen Curry
10,Jimmy Butler
