Rank,Name
1,Giannis Antetokounmpo
2,James Harden
3,Paul George
4,Nikola Jokic
5,Stephen Curry
6,Damian Lillard
7,Joel Embiid
8,Kevin Durant
9,Kawhi Leonard
10,Russell Westbroook
