Rank,Name
1,Kevin Durant
2,LeBron James
3,Blake Griffin
4,Joakim Noah
5,James Harden
6,Stephen Curry
7,Chris Paul
8,Al Jefferson
9,Paul George
10,LaMarcus Aldridge
