Rank,Name
1,Shai Gilgeous-Alexander
2,Nikola Jokic
3,Giannis Antetokounmpo
4,Jayson Tatum
5,Stephen Curry
6,Donovan Mitchell
7,Lebron James
8,Cade Cunningham
9,Anthony Edwards
10,Alperen Sengun
