Rank,Name
1,James Harden
2,LeBron James
3,Anthony Davis
4,Damian Lillard
5,Russell Westbrook
6,Giannis Antetokounmpo
7,Kevin Durant
8,DeMar DeRozan
9,LaMarcus Aldridge
10,Jimmy Butler
