Rank,Name
1,Nikola Jokic
2,Shai Gilgeous-Alexander
3,Luka Doncic
4,Giannis Antetokounmpo
5,Jalen Brunson
6,Jayson Tatum
7,Anthony Edwards
8,Domantas Sabonis
9,Kevin Durant
