Rank,Name
1,Stephen Curry
2,James Harden
3,LeBron James
4,Russell Westbrook
5,Anthony Davis
6,Chris Paul
7,LaMarcus Aldridge
8,Marc Gasol
9,Blake Griffin
10,Tim Duncan
