Rank,Name
1,Stephen Curry
2,Kawhi Leonard
3,LeBron James
4,Russell Westbrook
5,Kevin Durant
6,Chris Paul
7,Draymond Green
8,Damian Lillard
9,James Harden
10,Kyle Lowry
