All-NBA,Name
1,Nikola Jokic
1,Giannis Antetekoumpo
1,Kawhi Leonard
1,Stephen Curry
1,Luka Doncic
2,Joel Embiid
2,Julius Randle
2,LeBron James
2,Chris Paul
2,Damian Lillard
3,Rudy Gobert
3,Jimmy Butler
3,Paul George
3,Bradley Beal
3,Kyrie Irving
