All-NBA,Name
1,Nikola Jokic
1,Giannis Antetokounmpo
1,Jayson Tatum
1,Luka Doncic
1,Shai Gilgeous-Alexander
2,Anthony Davis
2,Kevin Durant
2,Kawhi Leonard
2,Jalen Brunson
2,Anthony Edwards
3,LeBron James
3,Domantas Sabonis
3,Devin Booker
3,Stephen Curry
3,Tyrese Haliburton
