All-NBA,Name
1,Nikola Jokic
1,Giannis Antetokounmpo
1,Jayson Tatum
1,Luka Doncic
1,Devin Booker
2,Joel Embiid
2,Kevin Durant
2,DeMar DeRozan
2,Ja Morant
2,Stephen Curry
3,Karl-Anthony Towns
3,LeBron James
3,Pascal Siakam
3,Chris Paul
3,Trae Young
