All-NBA,Name
1,Joel Embiid
1,Giannis Antetokounmpo
1,Jayson Tatum
1,Luka Doncic
1,Shai Gilgeous-Alexander
2,Nikola Jokic
2,Jimmy Butler
2,Jaylen Brown
2,Donovan Mitchell
2,Stephen Curry
3,Domantas Sabonis
3,LeBron James
3,Julius Randle
3,De'Aaron Fox
3,Damian Lillard
